Type,TPM,Gene,
H2K37M,3.43,TP53,
H2K37M,14.65,TP53,
H2K37M,129.92,TP53,
H2K37M,132.19,TP53,
H2K37M,0,TP53,
H2K37M,1.76,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,375.89,TP53,
H2K37M,10.39,TP53,
H2K37M,309.96,TP53,
H2K37M,179.84,TP53,
H2K37M,51.71,TP53,
H2K37M,48.68,TP53,
H2K37M,270.77,TP53,
H2K37M,0,TP53,
H2K37M,106.25,TP53,
H2K37M,134.55,TP53,
H2K37M,180.37,TP53,
H2K37M,82.65,TP53,
H2K37M,58.48,TP53,
H2K37M,317.74,TP53,
H2K37M,204.54,TP53,
H2K37M,119.54,TP53,
H2K37M,252.35,TP53,
H2K37M,175.47,TP53,
H2K37M,34.1,TP53,
H2K37M,0,TP53,
H2K37M,259.4,TP53,
H2K37M,3.05,TP53,
H2K37M,14.89,TP53,
H2K37M,47.47,TP53,
H2K37M,0,TP53,
H2K37M,28.93,TP53,
H2K37M,383.01,TP53,
H2K37M,100.3,TP53,
H2K37M,0,TP53,
H2K37M,15.82,TP53,
H2K37M,99.62,TP53,
H2K37M,337.04,TP53,
H2K37M,160.16,TP53,
H2K37M,138.63,TP53,
H2K37M,177,TP53,
H2K37M,31.52,TP53,
H2K37M,123.44,TP53,
H2K37M,73.54,TP53,
H2K37M,518.37,TP53,
H2K37M,101.08,TP53,
H2K37M,70.63,TP53,
H2K37M,0,TP53,
H2K37M,133.31,TP53,
H2K37M,277.49,TP53,
H2K37M,5.18,TP53,
H2K37M,95.45,TP53,
H2K37M,89.78,TP53,
H2K37M,215.34,TP53,
H2K37M,0,TP53,
H2K37M,107.18,TP53,
H2K37M,154.81,TP53,
H2K37M,0,TP53,
H2K37M,57.43,TP53,
H2K37M,15.38,TP53,
H2K37M,90.87,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,396.62,TP53,
H2K37M,271.13,TP53,
H2K37M,251.16,TP53,
H2K37M,17.74,TP53,
H2K37M,195.21,TP53,
H2K37M,127.22,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,265,TP53,
H2K37M,67.16,TP53,
H2K37M,250.01,TP53,
H2K37M,197.66,TP53,
H2K37M,42.41,TP53,
H2K37M,19.3,TP53,
H2K37M,161.91,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,185.83,TP53,
H2K37M,160.79,TP53,
H2K37M,294.51,TP53,
H2K37M,119.07,TP53,
H2K37M,67.5,TP53,
H2K37M,354.36,TP53,
H2K37M,64.15,TP53,
H2K37M,86.24,TP53,
H2K37M,4.21,TP53,
H2K37M,12.94,TP53,
H2K37M,17.4,TP53,
H2K37M,390.16,TP53,
H2K37M,4.52,TP53,
H2K37M,0,TP53,
H2K37M,68.16,TP53,
H2K37M,230.38,TP53,
H2K37M,180.68,TP53,
H2K37M,179.39,TP53,
H2K37M,9.42,TP53,
H2K37M,156.64,TP53,
H2K37M,105.49,TP53,
H2K37M,18.55,TP53,
H2K37M,35.52,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,219.15,TP53,
H2K37M,124.82,TP53,
H2K37M,1.59,TP53,
H2K37M,84.29,TP53,
H2K37M,2.83,TP53,
H2K37M,70.43,TP53,
H2K37M,141.23,TP53,
H2K37M,47.09,TP53,
H2K37M,70.75,TP53,
H2K37M,32.92,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,249.06,TP53,
H2K37M,26.44,TP53,
H2K37M,57.68,TP53,
H2K37M,132.94,TP53,
H2K37M,88.96,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,23.34,TP53,
H2K37M,164.61,TP53,
H2K37M,23.54,TP53,
H2K37M,0,TP53,
H2K37M,199.07,TP53,
H2K37M,136.03,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,211.52,TP53,
H2K37M,308.32,TP53,
H2K37M,27.1,TP53,
H2K37M,2.22,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,8.49,TP53,
H2K37M,0,TP53,
H2K37M,6.59,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,16.29,TP53,
H2K37M,392.16,TP53,
H2K37M,0,TP53,
H2K37M,110.75,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,7.53,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,1.54,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,10.1,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,618.64,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,112.66,TP53,
H2K37M,0,TP53,
H2K37M,1.16,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
